ID,Latitude,Longitude,number,formatted_ID
p127,4.51113911068415,7.65988218125818,127,P127
p128,4.510810130491956,7.660162533529197,128,P128
p129,4.510493531365765,7.660332599691531,129,P129
P130,4.510144890069711,7.660539641995392,130,P130
p133,4.505118747002937,7.664429869587995,133,P133
p134,4.50568690490157,7.66468911557721,134,P134
p135,4.506199564273443,7.665142653882302,135,P135
p136,4.506614970386594,7.665665274577402,136,P136
p137,4.506870259845067,7.66615453538543,137,P137
p138,4.507159462378477,7.66645274952853,138,P138
p139,4.506337629538127,7.664551139647129,139,P139
p140,4.506766325042078,7.664467074986677,140,P140
p141,4.507272421180934,7.664508645446291,141,P141
p142,4.504862642839515,7.665018013099227,142,P142
p143,4.505148269589098,7.665597422885558,143,P143
p144,4.505467345520231,7.666182028393241,144,P144
p145,4.505722002503219,7.666755292167271,145,P145
p146,4.506017147855274,7.667297491730558,146,P146
p147,4.506305294882948,7.667848048499293,147,P147
p148,4.506766582427531,7.668354930728622,148,P148
p149,4.506571756695219,7.668772562842334,149,P149
p150,4.508898412056093,7.659768817541865,150,P150
P151,4.508790002907489,7.659870296858675,151,P151
p152,4.508701198525832,7.659959344090444,152,P152
p153,4.50860095381528,7.660071512537394,153,P153
p154,4.508491468696358,7.660197140714155,154,P154
p155,4.508392555145147,7.660293617297618,155,P155
p156,4.508267130945844,7.660457484345469,156,P156
p157,4.508169388909099,7.660589464140322,157,P157
p158,4.508059197975637,7.660736844131232,158,P158
p159,4.507963096825919,7.660891668964966,159,P159
p160,4.507825315772868,7.661088139153884,160,P160
p161,4.503028476159256,7.665088585067156,161,P161
p162,4.503068352103398,7.665033372548679,162,P162
p163,4.503115122489106,7.66495936782519,163,P163
p164,4.50316273718862,7.664886643121891,164,P164
p165,4.503203400104797,7.664824742600822,165,P165
p166,4.503240325600996,7.664767177496358,166,P166
p167,4.503286557925073,7.664691099526635,167,P167
p168,4.5033282742539,7.664627778056168,168,P168
p169,4.503365396787995,7.664546753615871,169,P169
p170,4.503393928442406,7.664479799369584,170,P170
p171,4.50342970110816,7.664403214437527,171,P171
p172,4.503460138673669,7.664330242023176,172,P172
p173,4.503493910208912,7.664266180063979,173,P173
p174,4.503543161945309,7.664172007481147,174,P174
p175,4.503571283229605,7.664125187472597,175,P175
p176,4.503592771736061,7.664086511388842,176,P176
p177,4.503622918883938,7.664041470167968,177,P177
p178,4.503652081896598,7.663990670854133,178,P178
p179,4.50368095374524,7.663942278418814,179,P179
p180,4.503701589635966,7.663906800481525,180,P180
P181,4.503723534520119,7.663867838879341,181,P181
p182,4.50375162041239,7.66384796863707,182,P182
p183,4.503818261092299,7.663822796872597,183,P183
p184,4.503939852308589,7.663802270623716,184,P184
p185,4.504069780575559,7.663812058172828,185,P185
p186,4.504310703466251,7.663852048353974,186,P186
